primeDepth,primeCorrect,stimDepth,orientation,contrast,frequency,latency,correct
33.0,True,50.0,90,1.0,[20. 20.],60,True
33.0,True,50.0,0,1.0,[20. 20.],52,True
33.0,True,50.0,0,1.0,[20. 20.],44,True
33.0,True,50.0,90,1.0,[20. 20.],36,True
33.0,True,50.0,0,1.0,[20. 20.],28,True
33.0,True,50.0,0,1.0,[20. 20.],20,True
33.0,True,50.0,90,1.0,[20. 20.],12,True
33.0,True,50.0,90,1.0,[20. 20.],4,True
33.0,True,50.0,90,1.0,[20. 20.],-4,False
33.0,True,50.0,90,1.0,[20. 20.],0,True
33.0,True,50.0,90,1.0,[20. 20.],0,False
33.0,True,50.0,0,1.0,[20. 20.],4,True
33.0,True,50.0,90,1.0,[20. 20.],4,True
33.0,True,50.0,90,1.0,[20. 20.],4,True
33.0,True,50.0,90,1.0,[20. 20.],0,False
33.0,True,50.0,0,1.0,[20. 20.],2,False
33.0,True,50.0,0,1.0,[20. 20.],4,False
33.0,True,50.0,90,1.0,[20. 20.],6,True
33.0,True,50.0,0,1.0,[20. 20.],6,True
33.0,True,50.0,90,1.0,[20. 20.],6,True
